date,title,price
2020-03-29,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-29,Pedro y el capitán,99.0
2020-03-29,All My Sons,223.0
2020-03-29,Persona: A Biography of Yukio Mishima,981.2
2020-03-29,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,219.69
2020-03-29,On Confidence,223.0
2020-03-29,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,298.73
2020-03-29,Relationships,374.97
2020-03-29,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-29,Chaos: Making a New Science,353.72
2020-03-29,A Darker Shade of Magic,320.17
2020-03-29,From Disgust to Humanity: Sexual Orientation and Constitutional Law,508.47
2020-03-29,Beyond Good and Evil,314.4
2020-03-29,"The Hobbit: Or, There and Back Again",242.82
2020-03-29,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-29,The Whale That Fell in Love with a Submarine,367.0
2020-03-29,Shōgun: The Epic Novel of Japan,554.3
2020-03-29,Someone Who Will Love You in All Your Damaged Glory: Stories,385.0
2020-03-29,"Runaway Horses: The Sea of Fertility, 2",431.0
2020-03-29,"Anger and Forgiveness: Resentment, Generosity, Justice",431.59
2020-03-29,Before the Coffee Gets Cold,294.27
2020-03-29,Human Acts,448.34
2020-03-30,Confessions of a Mask,258.38
2020-03-30,The Hunger Games Trilogy Boxed Set,747.33
2020-03-30,"First, We Make the Beast Beautiful: A New Journey Through Anxiety",386.0
2020-03-30,I'm Thinking of Ending Things,223.0
2020-03-30,The Godfather,297.08
2020-03-30,Colorless Tsukuru Tazaki and His Years of Pilgrimage,693.0
2020-03-30,The Remains of the Day,544.0
2020-03-30,The Elephant Vanishes,408.0
2020-03-30,No Longer Human,336.73
2020-03-30,La Inmortalidad,248.0
2020-03-30,"Call Me by Your Name, Portada puede variar",278.2
2020-03-30,Strange Weather in Tokyo,336.39
2020-03-30,Kokoro,273.48
2020-03-30,Notre Dame de París / Notre-Dame of Paris,285.17
2020-03-30,Memoirs of a Geisha,591.95
2020-03-30,Dance Dance Dance,341.6
2020-03-30,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-30,God Help the Child,387.49
2020-03-30,Anna Karenina,370.0
2020-03-30,The Selfish Gene: 40th Anniversary Edition,226.29
2020-03-30,The Hate U Give Collector's Edition,247.52
2020-03-30,"The Temple of Dawn: The Sea of Fertility, 3",377.05
2020-03-30,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-30,Pedro y el capitán,99.0
2020-03-30,All My Sons,223.0
2020-03-30,Persona: A Biography of Yukio Mishima,905.99
2020-03-30,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,231.56
2020-03-30,On Confidence,223.0
2020-03-30,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,298.73
2020-03-30,Relationships,374.97
2020-03-30,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-30,Chaos: Making a New Science,353.72
2020-03-30,A Darker Shade of Magic,320.17
2020-03-30,From Disgust to Humanity: Sexual Orientation and Constitutional Law,517.98
2020-03-30,Beyond Good and Evil,314.4
2020-03-30,"The Hobbit: Or, There and Back Again",242.82
2020-03-30,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-30,The Whale That Fell in Love with a Submarine,367.0
2020-03-30,Shōgun: The Epic Novel of Japan,554.3
2020-03-30,Someone Who Will Love You in All Your Damaged Glory: Stories,385.0
2020-03-30,"Runaway Horses: The Sea of Fertility, 2",436.0
2020-03-30,"Anger and Forgiveness: Resentment, Generosity, Justice",431.59
2020-03-30,Before the Coffee Gets Cold,294.27
2020-03-30,Human Acts,448.34
2020-03-31,The Vegetarian,312.0
2020-03-31,Confessions of a Mask,258.38
2020-03-31,The Hunger Games Trilogy Boxed Set,747.33
2020-03-31,I'm Thinking of Ending Things,223.0
2020-03-31,The Godfather,297.08
2020-03-31,Colorless Tsukuru Tazaki and His Years of Pilgrimage,693.0
2020-03-31,The Remains of the Day,541.0
2020-03-31,The Elephant Vanishes,408.0
2020-03-31,No Longer Human,336.73
2020-03-31,La Inmortalidad,248.0
2020-03-31,"Call Me by Your Name, Portada puede variar",278.2
2020-03-31,Strange Weather in Tokyo,336.39
2020-03-31,Kokoro,273.48
2020-03-31,Notre Dame de París / Notre-Dame of Paris,285.17
2020-03-31,Memoirs of a Geisha,741.89
2020-03-31,Dance Dance Dance,341.6
2020-03-31,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-03-31,God Help the Child,387.49
2020-03-31,Anna Karenina,603.9
2020-03-31,The Selfish Gene: 40th Anniversary Edition,226.29
2020-03-31,The Hate U Give Collector's Edition,247.52
2020-03-31,"The Temple of Dawn: The Sea of Fertility, 3",377.05
2020-03-31,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-03-31,Pedro y el capitán,99.0
2020-03-31,All My Sons,267.79
2020-03-31,Persona: A Biography of Yukio Mishima,905.99
2020-03-31,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,231.56
2020-03-31,On Confidence,223.0
2020-03-31,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-03-31,Relationships,374.97
2020-03-31,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-03-31,Chaos: Making a New Science,353.72
2020-03-31,A Darker Shade of Magic,320.17
2020-03-31,From Disgust to Humanity: Sexual Orientation and Constitutional Law,517.98
2020-03-31,Beyond Good and Evil,314.4
2020-03-31,"The Hobbit: Or, There and Back Again",242.82
2020-03-31,What I Talk about When I Talk about Running: A Memoir,237.0
2020-03-31,The Whale That Fell in Love with a Submarine,367.0
2020-03-31,Shōgun: The Epic Novel of Japan,554.3
2020-03-31,Someone Who Will Love You in All Your Damaged Glory: Stories,385.0
2020-03-31,"Runaway Horses: The Sea of Fertility, 2",434.0
2020-03-31,"Anger and Forgiveness: Resentment, Generosity, Justice",431.59
2020-03-31,Before the Coffee Gets Cold,263.59
2020-03-31,Human Acts,448.34
2020-04-01,Behave: The Biology of Humans at Our Best and Worst,240.22
2020-04-01,The Righteous Mind: Why Good People Are Divided by Politics and Religion,482.0
2020-04-01,The Vegetarian,312.0
2020-04-01,Confessions of a Mask,263.3
2020-04-01,The Hunger Games Trilogy Boxed Set,761.57
2020-04-01,I'm Thinking of Ending Things,305.65
2020-04-01,The Godfather,302.74
2020-04-01,Colorless Tsukuru Tazaki and His Years of Pilgrimage,693.0
2020-04-01,The Remains of the Day,541.0
2020-04-01,The Elephant Vanishes,408.0
2020-04-01,No Longer Human,336.73
2020-04-01,La Inmortalidad,248.0
2020-04-01,"Call Me by Your Name, Portada puede variar",395.0
2020-04-01,Strange Weather in Tokyo,336.39
2020-04-01,Kokoro,278.69
2020-04-01,Notre Dame de París / Notre-Dame of Paris,285.17
2020-04-01,Memoirs of a Geisha,824.32
2020-04-01,Dance Dance Dance,341.6
2020-04-01,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.0
2020-04-01,God Help the Child,387.49
2020-04-01,Anna Karenina,603.9
2020-04-01,The Selfish Gene: 40th Anniversary Edition,230.6
2020-04-01,The Hate U Give Collector's Edition,252.24
2020-04-01,"The Temple of Dawn: The Sea of Fertility, 3",377.05
2020-04-01,"The Decay of the Angel: The Sea of Fertility, 4",237.0
2020-04-01,Pedro y el capitán,99.0
2020-04-01,All My Sons,281.88
2020-04-01,Persona: A Biography of Yukio Mishima,905.99
2020-04-01,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,231.56
2020-04-01,On Confidence,223.0
2020-04-01,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-04-01,Relationships,382.12
2020-04-01,Mating in Captivity: Unlocking Erotic Intelligence,304.93
2020-04-01,Chaos: Making a New Science,360.45
2020-04-01,A Darker Shade of Magic,320.17
2020-04-01,From Disgust to Humanity: Sexual Orientation and Constitutional Law,517.98
2020-04-01,Beyond Good and Evil,314.4
2020-04-01,"The Hobbit: Or, There and Back Again",247.45
2020-04-01,What I Talk about When I Talk about Running: A Memoir,237.0
2020-04-01,The Whale That Fell in Love with a Submarine,367.0
2020-04-01,Shōgun: The Epic Novel of Japan,564.86
2020-04-01,Someone Who Will Love You in All Your Damaged Glory: Stories,385.0
2020-04-01,"Runaway Horses: The Sea of Fertility, 2",434.0
2020-04-01,"Anger and Forgiveness: Resentment, Generosity, Justice",439.81
2020-04-01,Before the Coffee Gets Cold,268.61
2020-04-01,Human Acts,448.34
2020-04-02,Behave: The Biology of Humans at Our Best and Worst,239.08
2020-04-02,The Righteous Mind: Why Good People Are Divided by Politics and Religion,482.00
2020-04-02,The Vegetarian,312.00
2020-04-02,Confessions of a Mask,262.05
2020-04-02,The Hunger Games Trilogy Boxed Set,741.66
2020-04-02,I'm Thinking of Ending Things,304.20
2020-04-02,The Godfather,301.30
2020-04-02,No Longer Human,336.73
2020-04-02,La Inmortalidad,248.00
2020-04-02,"Call Me by Your Name, Portada puede variar",391.00
2020-04-02,Strange Weather in Tokyo,336.39
2020-04-02,Kokoro,277.37
2020-04-02,Memoirs of a Geisha,520.00
2020-04-02,Dance Dance Dance,341.60
2020-04-02,"His Dark Materials: The Golden Compass, the Subtle Knife, the Amber Spyglass",534.00
2020-04-02,God Help the Child,484.36
2020-04-02,Anna Karenina,603.90
2020-04-02,The Selfish Gene: 40th Anniversary Edition,229.50
2020-04-02,The Hate U Give Collector's Edition,251.04
2020-04-02,"The Temple of Dawn: The Sea of Fertility, 3",377.05
2020-04-02,"The Decay of the Angel: The Sea of Fertility, 4",237.00
2020-04-02,Pedro y el capitán,99.00
2020-04-02,All My Sons,281.88
2020-04-02,Beyond Good and Evil: The Philosophy Classic;Capstone Classics,231.56
2020-04-02,On Confidence,223.00
2020-04-02,Come as You Are: The Surprising New Science That Will Transform Your Sex Life,375.63
2020-04-02,Relationships,380.31
2020-04-02,Mating in Captivity: Unlocking Erotic Intelligence,364.00
2020-04-02,Chaos: Making a New Science,358.75
2020-04-02,A Darker Shade of Magic,320.17
2020-04-02,Beyond Good and Evil,260.95
